component;target;action;comp_map;cat_map;code;spec;median;medmad_tau
assignsubmission_comments;comment;created;Assignment;Ending;1;;0 days 00:00:00;0 days 00:00:00
assignsubmission_comments;comment;deleted;Assignment;Instantaneous;1;;0 days 00:00:00;0 days 00:00:00
assignsubmission_file;assessable;uploaded;Assignment;Simultaneous;1;;0 days 00:00:00;0 days 00:00:00
assignsubmission_file;submission;created;Assignment;Ending;1;;0 days 00:00:00;0 days 00:00:00
assignsubmission_file;submission;updated;Assignment;Ending;1;;0 days 00:00:00;0 days 00:00:00
assignsubmission_onlinetext;assessable;uploaded;Assignment;Simultaneous;1;;0 days 00:00:00;0 days 00:00:00
assignsubmission_onlinetext;submission;created;Assignment;Ending;1;;0 days 00:00:00;0 days 00:00:00
assignsubmission_onlinetext;submission;assigned;Assignment;Simultaneous;1;;;
booktool_print;book;printed;Book;Instantaneous;1;;0 days 00:00:00;0 days 00:00:00
booktool_print;chapter;printed;Book;Instantaneous;1;;0 days 00:00:00;0 days 00:00:00
core;calendar_event;created;Calendar;Ending;1;;0 days 00:00:00;0 days 00:00:00
core;calendar_event;deleted;Calendar;Ending;1;;0 days 00:00:00;0 days 00:00:00
core;calendar_event;updated;Calendar;Ending;1;;0 days 00:00:00;0 days 00:00:00
core;calendar_subscription;created;Calendar;Ending;1;;0 days 00:00:00;0 days 00:00:00
core;calendar_subscription;deleted;Calendar;Instantaneous;1;;0 days 00:00:00;0 days 00:00:00
core;calendar_subscription;updated;Calendar;Ending;1;;0 days 00:00:00;0 days 00:00:00
core;course;viewed;Course home, Site home;Starting;1;course_or_site_home;;
core;course_category;viewed;Course list;Starting;1;;0 days 00:00:11;0 days 00:00:20
core;course_information;viewed;Course list;Starting;1;;0 days 00:00:12;0 days 00:00:22
core;course_resources_list;viewed;Course list;Starting;1;;0 days 00:00:11;0 days 00:00:16
core;course_user_report;viewed;Grades;Starting;1;;0 days 00:00:24;0 days 00:00:43
core;courses;searched;Course list;Instantaneous;1;;;
core;dashboard;reset;Dashboard, User Profile;Instantaneous;1;;;
core;dashboard;viewed;Dashboard;Starting;1;;0 days 00:00:07;0 days 00:00:11
core;grade_item;created;Grades;Ending;1;;0 days 00:00:00;0 days 00:00:00
core;grade_item;updated;Grades;Ending;1;;0 days 00:00:00;0 days 00:00:00
core;group;created;Group;Ending;1;;0 days 00:00:00;0 days 00:00:00
core;group;deleted;Group;Instantaneous;1;;0 days 00:00:00;0 days 00:00:00
core;group;updated;Group;Ending;1;;0 days 00:00:00;0 days 00:00:00
core;group_member;added;Group;Instantaneous;1;;0 days 00:00:00;0 days 00:00:00
core;group_member;removed;Group;Instantaneous;1;;0 days 00:00:00;0 days 00:00:00
core;group_message;sent;Messaging;Ending;1;;0 days 00:00:00;0 days 00:00:00
core;message;deleted;Messaging;Instantaneous;1;;0 days 00:00:00;0 days 00:00:00
core;message;sent;Messaging;Ending;1;;0 days 00:00:00;0 days 00:00:00
core;message;viewed;Messaging;Starting;1;;0 days 00:00:32;0 days 00:01:04
core;message_contact;added;Messaging;Instantaneous;1;;0 days 00:00:00;0 days 00:00:00
core;message_contact;removed;Messaging;Instantaneous;1;;0 days 00:00:00;0 days 00:00:00
core;message_user;blocked;Messaging;Instantaneous;1;;0 days 00:00:00;0 days 00:00:00
core;notes;viewed;Notes;Starting;1;;0 days 00:00:50;0 days 00:01:33
core;question;viewed;Quiz;Starting;1;;0 days 00:00:17;0 days 00:00:31
core;user;loggedin;User login;Starting;1;;;
core;user;loggedout;User logout;Instantaneous;1;;;
core;user;updated;User profile;Ending;1;;0 days 00:00:00;0 days 00:00:00
core;user_list;viewed;Participant profile;Starting;1;;0 days 00:00:21;0 days 00:00:36
core;user_password;updated;User profile;Ending;1;;0 days 00:00:00;0 days 00:00:00
core;user_profile;viewed;User profile, Participant profile;Starting;1;user_or_participant_profile;;
core_h5p;h5p;viewed;H5P;Opening;1;;0 days 00:01:20;0 days 00:02:42
forumreport_summary;report;viewed;Forum;Starting;1;;0 days 00:00:24;0 days 00:00:24
mod_assign;assessable;submitted;Assignment;Simultaneous;1;;0 days 00:00:00;0 days 00:00:00
mod_assign;course_module;viewed;Assignment;Simultaneous;1;;0 days 00:00:00;0 days 00:00:00
mod_assign;feedback;viewed;Assignment;Simultaneous;1;;0 days 00:00:00;0 days 00:00:00
mod_assign;submission;viewed;Assignment;Starting;1;;0 days 00:00:09;0 days 00:00:18
mod_assign;submission_confirmation_form;viewed;Assignment;Starting;1;;0 days 00:00:03;0 days 00:00:06
mod_assign;submission_form;viewed;Assignment;Starting;1;;0 days 00:00:12;0 days 00:00:24
mod_assign;submission_status;updated;Assignment;Simultaneous;1;;0 days 00:00:00;0 days 00:00:00
mod_assign;submission_status;viewed;Assignment;Starting;1;;0 days 00:00:04;0 days 00:00:08
mod_attendance;attendance;taken;Attendance;Instantaneous;1;;0 days 00:00:00;0 days 00:00:00
mod_attendance;attendance_taken_by;student;Attendance;Instantaneous;1;;0 days 00:00:00;0 days 00:00:00
mod_attendance;status;added;Attendance;Ending;1;;0 days 00:00:00;0 days 00:00:00
